k,weight,metric,accuracy,precision,recall,f1,specificity
12,uniform,manhattan,0.9350563909774436,0.9300379834847099,0.9720634920634922,0.9496407333658985,0.8742424242424243
12,uniform,minkowski,0.9315162907268169,0.9318457079240134,0.9636507936507936,0.9465644135853534,0.8787878787878789
12,uniform,chebyshev,0.931484962406015,0.93144149225664,0.9636507936507936,0.9464549973694352,0.8785714285714287
12,uniform,cosine,0.9226190476190477,0.9201208741146821,0.9609523809523811,0.939429797427868,0.8586580086580087
12,uniform,canberra,0.956077694235589,0.9595104879315406,0.9718253968253968,0.9653553686067788,0.9294372294372295
12,uniform,braycurtis,0.9350563909774436,0.9344934308348943,0.9665079365079364,0.9493850256033414,0.8835497835497836
12,uniform,correlation,0.9261278195488721,0.9251025764648055,0.9609523809523811,0.9420572981680448,0.8679653679653679
12,distance,euclidean,0.9332706766917293,0.9341399049550526,0.9636507936507936,0.9478232066249683,0.8833333333333334
12,distance,manhattan,0.9368107769423559,0.9303321489080002,0.9748412698412698,0.9512360537895942,0.8742424242424243
12,distance,minkowski,0.9332706766917293,0.9341399049550526,0.9636507936507936,0.9478232066249683,0.8833333333333334
12,distance,chebyshev,0.9279448621553884,0.9265947426730483,0.9636507936507936,0.9438660008869407,0.8692640692640694
12,distance,cosine,0.9244047619047621,0.9161964986964988,0.9693650793650793,0.941279503535543,0.849134199134199
12,distance,canberra,0.9595864661654134,0.9597989342726185,0.9773809523809524,0.9682071930339455,0.9294372294372295
12,distance,braycurtis,0.9350563909774436,0.9298564708007431,0.972063492063492,0.949756149227498,0.8740259740259739
12,distance,correlation,0.9244047619047621,0.9161964986964988,0.9693650793650793,0.941279503535543,0.849134199134199
13,uniform,euclidean,0.9315162907268169,0.9272681083464137,0.9692857142857143,0.9468645199539528,0.8694805194805195
13,uniform,manhattan,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
13,uniform,minkowski,0.9315162907268169,0.9272681083464137,0.9692857142857143,0.9468645199539528,0.8694805194805195
13,uniform,chebyshev,0.9279448621553884,0.9265947426730483,0.9636507936507936,0.9438660008869407,0.8692640692640694
13,uniform,cosine,0.9243734335839597,0.9181836781836783,0.9665079365079364,0.9411012199888384,0.8538961038961037
13,uniform,canberra,0.9578634085213034,0.9542344201786925,0.9802380952380952,0.9668793725567962,0.9201298701298702
13,uniform,braycurtis,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
13,uniform,correlation,0.9226190476190474,0.9161208461208462,0.9665079365079364,0.9399051076422443,0.848917748917749
13,distance,euclidean,0.9279761904761903,0.9269678080461136,0.9636507936507936,0.9439709791045952,0.8694805194805195
13,distance,manhattan,0.9350563909774436,0.9323949718686559,0.9692857142857143,0.9495558693935076,0.8787878787878789
13,distance,minkowski,0.9279761904761903,0.9269678080461136,0.9636507936507936,0.9439709791045952,0.8694805194805195
13,distance,chebyshev,0.9261904761904762,0.9237426927621748,0.9636507936507936,0.9425409491271063,0.8645021645021647
13,distance,cosine,0.9244047619047621,0.9161964986964988,0.9693650793650793,0.941279503535543,0.849134199134199
13,distance,canberra,0.9596177944862155,0.9571755966492808,0.9802380952380952,0.9682860221731644,0.9246753246753248
13,distance,braycurtis,0.9350563909774436,0.9323949718686559,0.9692857142857143,0.9495558693935076,0.8787878787878789
13,distance,correlation,0.9261591478696742,0.9187490512490513,0.9693650793650793,0.9426097069784225,0.8536796536796537
14,uniform,euclidean,0.9297305764411027,0.9291472952256008,0.9636507936507936,0.9451962043298202,0.8740259740259742
14,uniform,manhattan,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
14,uniform,minkowski,0.9297305764411027,0.9291472952256008,0.9636507936507936,0.9451962043298202,0.8740259740259742
14,uniform,chebyshev,0.9279448621553884,0.9265947426730483,0.9636507936507936,0.9438660008869407,0.8692640692640694
14,uniform,cosine,0.9243734335839597,0.9181836781836783,0.9665079365079364,0.9411012199888384,0.8538961038961037
14,uniform,canberra,0.9561090225563911,0.9541550550993275,0.9774603174603176,0.9654317982218978,0.9201298701298702
14,uniform,braycurtis,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
14,uniform,correlation,0.9296365914786966,0.9254730728414939,0.9665079365079364,0.9449918786237521,0.8679653679653679
14,distance,euclidean,0.9297305764411027,0.9291472952256008,0.9636507936507936,0.9451962043298202,0.8740259740259742
14,distance,manhattan,0.9368107769423559,0.9303321489080002,0.9748412698412698,0.9512360537895942,0.8742424242424243
14,distance,minkowski,0.9297305764411027,0.9291472952256008,0.9636507936507936,0.9451962043298202,0.8740259740259742
